question,best_loc,fauxpy,none,self_llm
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,1.0,1.0,1.0,0.875
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,0.875
10,1.0,0.75,0.875,0.75
11,0.875,0.0,0.125,0.375
12,1.0,1.0,1.0,0.875
13,1.0,0.5,0.5,0.5
14,0.0,0.0,0.0,0.0
15,1.0,0.875,0.875,0.875
16,0.875,0.375,0.5,0.5
17,0.0,0.0,0.0,0.0
18,0.5,0.375,0.5,0.25
19,1.0,0.625,0.875,0.75
20,0.875,1.0,1.0,0.625
21,0.875,0.75,0.75,0.625
22,0.5,0.125,0.125,0.375
23,0.125,0.0,0.0,0.125
24,0.875,0.75,0.5,0.5
25,1.0,1.0,0.75,0.75
26,0.5,0.375,0.375,0.625
27,0.875,0.75,0.75,0.625
28,1.0,0.75,0.75,0.625
29,0.0,0.0,0.0,0.0
30,1.0,0.75,0.75,0.625
31,0.0,0.0,0.0,0.0
32,0.875,0.625,0.875,0.875
33,0.75,0.5,0.75,0.625
34,0.875,0.75,0.75,0.75
35,1.0,1.0,1.0,0.875
36,0.0,0.0,0.0,0.0
37,0.875,0.625,0.5,0.25
38,1.0,1.0,1.0,0.875
39,0.0,0.0,0.0,0.0
40,0.25,0.125,0.25,0.5
