Model,Type,n solved,Mean lines changed (repaired vs buggy),Mean similarity,Mean GT bug size,Invasiveness ratio (changed / GT size)
Qwen2.5,None,22,6.455,0.678,1.045,6.174
Qwen3.6,None,26,5.654,0.739,1.038,5.444
Qwen3Coder,None,22,6.227,0.711,1.045,5.957
Gemma4,None,17,6.235,0.703,1.059,5.889
Granite4,None,27,5.741,0.71,1.037,5.536
CodeGemma,None,19,3.368,0.792,1.053,3.2
GraniteCode,None,15,3.067,0.803,1.0,3.067
CodeLlama,None,13,6.0,0.695,1.0,6.0
Qwen2.5,FauxPy,18,6.389,0.662,1.056,6.053
Qwen3.6,FauxPy,23,4.043,0.784,1.043,3.875
Qwen3Coder,FauxPy,24,7.0,0.684,1.042,6.72
Gemma4,FauxPy,21,4.19,0.767,1.048,4.0
Granite4,FauxPy,25,4.8,0.734,1.04,4.615
CodeGemma,FauxPy,18,3.0,0.816,1.056,2.842
GraniteCode,FauxPy,15,3.133,0.805,1.0,3.133
CodeLlama,FauxPy,11,7.364,0.622,1.0,7.364
Qwen2.5,Best-Loc (Gemma4),24,4.917,0.75,1.042,4.72
Qwen3.6,Best-Loc (Gemma4),24,3.792,0.804,1.042,3.64
Qwen3Coder,Best-Loc (Gemma4),24,4.917,0.754,1.042,4.72
Gemma4,Best-Loc (Gemma4),20,5.05,0.756,1.05,4.81
Granite4,Best-Loc (Gemma4),27,5.259,0.721,1.037,5.071
CodeGemma,Best-Loc (Gemma4),25,3.64,0.801,1.04,3.5
GraniteCode,Best-Loc (Gemma4),27,3.444,0.799,1.037,3.321
CodeLlama,Best-Loc (Gemma4),23,4.609,0.75,1.0,4.609
Qwen2.5,Self-LLM,19,5.474,0.721,1.053,5.2
Qwen3.6,Self-LLM,26,3.115,0.831,1.038,3.0
Qwen3Coder,Self-LLM,27,6.926,0.692,1.037,6.679
Gemma4,Self-LLM,20,5.05,0.756,1.05,4.81
Granite4,Self-LLM,25,6.08,0.671,1.04,5.846
CodeGemma,Self-LLM,13,4.692,0.746,1.0,4.692
GraniteCode,Self-LLM,11,2.818,0.832,1.0,2.818
CodeLlama,Self-LLM,10,6.3,0.683,1.0,6.3
